"","Country.Territory","Status","PR.Rating","CL.Rating","A1","A2","A3","A.Aggr","B1","B2","B3","B4","B.Aggr","C1","C2","C3","C.Aggr","Add.A","Add.B","PR.Aggr","D1","D2","D3","D4","D.Aggr","E1","E2","E3","E.Aggr","F1","F2","F3","F4","F.Aggr","G1","G2","G3","G4","G.Aggr","CL.Aggr","Total.Aggr","Year.x","Region.x","pti.COW_Code_A","pti.COW_Code_N","pti.WordBank_Code_A","pti.UN_Code_N","pti.Region.y","pti.PTS_A","pti.PTS_H","pti.PTS_S","HDI.Country","unhdi.Human.Development.Index..HDI.","unhdi.Human.Dev.Category","unhdi.Life.expectancy.at.birth","unhdi.HDI.rank","unhdi.Expected.years.of.schooling","unhdi.Mean.years.of.schooling","unhdi.Gross.national.income..GNI..per.capita","unhdi.GNI.per.capita.rank.minus.HDI.rank","unhdi.Mobile.phone.subscriptions..per.100.people.","unhdi.Internet.users....of.population.","unhdi.Foreign.direct.investment..net.inflows....of.GDP.","unhdi.Private.capital.flows..","unhdi.Net.official.development.assistance.received","unhdi.Remittances..inflows","unhdi.Net.migration.rate","unhdi.Stock.of.immigrants","unhdi.International.student.mobility","unhdi.International.inbound.tourists","FSI_Total","FSI_Demographic.Pressures","FSI_Refugees.and.IDPs","FSI_Group.Grievance","FSI_Human.Flight","FSI_Uneven.Development","FSI_Poverty.and.Economic.Decline","FSI_Legitimacy.of.the.State","FSI_Public.Services","FSI_Human.Rights","FSI_Security.Apparatus","FSI_Factionalized.Elites","FSI_External.Intervention","TI_Rank","TI_CPI2015","TI_Country","TI_Region","TI_wbcode","TI_World.Bank.CPIA","TI_World.Economic.Forum.EOS","TI_Bertelsmann.Foundation.TI","TI_African.Dev.Bank","TI_IMD.World.Competitiveness.Yearbook","TI_Bertelsmann.Foundation.SGI","TI_World.Justice.Project.ROL","TI_PRS.International.Country.Risk.Guide","TI_Economist.Intelligence.Unit","TI_IHS.Global.Insight","TI_PERC.Asia.Risk.Guide","TI_Freedom.House.NIT","TI_CPI2015.2.","TI_Rank2","TI_Number.of.Sources","TI_Std.Deviation.of.Sources","TI_Standard.Error","TI_Minimum","TI_Maximum","TI_Lower.CI","TI_Upper.CI"
"104","Liechtenstein","F",1,1,4,4,4,12,4,4,4,3,15,4,4,4,12,0,0,39,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,4,16,59,98,2015,"Europe","LIE",223,"LIE",438,"eca",NA,NA,1,"Liechtenstein","0.908","Very High","80.0","13","15.0","11.8","79,851","-10",104.3,95.2,NA,NA,NA,NA,NA,33.1,"-16.8","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Lithuania","F",1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,0,38,4,4,4,4,16,4,4,3,11,4,3,3,3,13,4,3,3,3,13,53,91,2015,"Europe","LIT",368,"LTU",440,"eca",1,NA,1,"Lithuania","0.839","Very High","73.3","37","16.4","12.4","24,500","7",147,72.1,1.6,3.1,NA,4.48,-1.9,4.9,"-5.0","2,012",43,3.3,2.6,4.3,4.2,5,5,3.2,4,2.4,3,3,3,32,61,"Lithuania","WE/EU","LTU",NA,60,66,NA,51,81,NA,60,54,63,NA,55,61,32,8,9.38,3.32,51,81,55.522,66.478
"106","Luxembourg","F",1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,0,38,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,98,2015,"Europe","LUX",212,"LUX",442,"eca",NA,NA,1,"Luxembourg","0.892","Very High","81.7","19","13.9","11.7","58,711","-11",148.4,94.7,50,-168.9,NA,3.02,9.7,43.3,"-85.9","945",22.2,1.7,1.7,3.1,2.1,1.5,1.5,1.3,1.3,1,2,3.4,1.6,10,81,"Luxembourg","WE/EU","LUX",NA,89,NA,NA,85,57,NA,89,NA,83,NA,NA,81,10,5,13.45,6.02,57,89,71.067,90.933
"107","Macedonia","PF",4,3,2,2,3,7,3,2,2,3,10,2,2,2,6,0,0,23,2,3,3,3,11,3,3,2,8,2,2,2,2,8,3,3,2,2,10,37,60,2015,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,"The former Yugoslav Republic of Macedonia","0.747","High","75.4","81","13.4","9.3","11,780","9",109.1,68.1,4.1,-1.6,2.5,3.69,-0.5,6.6,"-5.2","400",64.5,3.3,5.3,7,5.5,5.6,5.7,5.5,4.4,3.9,5.4,7,5.9,66,42,"The FYR of Macedonia","ECA","MKD",NA,61,40,NA,NA,NA,41,NA,21,42,NA,47,42,66,6,12.9,5.27,21,61,33.3045,50.6955
"108","Madagascar","PF",4,4,3,3,3,9,3,2,2,2,9,2,1,1,4,0,0,22,1,2,3,3,9,2,3,3,8,1,1,2,2,6,3,1,1,2,7,30,52,2015,"Sub-Saharan Africa","MAG",580,"MDG",450,"ssa",4,NA,3,"Madagascar","0.510","Low","65.1","154","10.3","6.0","1,328","24",38.2,3.7,7.9,NA,4.9,0.22,0,0.1,"-2.6","196",83.6,8.5,3.9,4.6,6.1,8.5,7.6,7.2,9.1,6.1,7.1,7.6,7.3,123,28,"Madagascar","SSA","MDG",23,29,32,20,NA,NA,20,31,NA,42,NA,NA,28,123,7,7.9,2.99,20,42,23.0665,32.9335
"109","Malawi","PF",3,4,3,3,2,8,3,3,3,3,12,3,2,2,7,0,0,27,2,3,3,3,11,2,2,3,7,3,2,2,2,9,2,2,1,2,7,34,61,2015,"Sub-Saharan Africa","MAW",553,"MWI",454,"ssa",2,NA,2,"Malawi","0.445","Low","62.8","173","10.8","4.3","747","13",30.5,5.8,3.2,-1.9,31.5,0.67,0,1.3,"-20.1","770",86.9,8.8,6.1,5.4,8.1,8.4,8.6,6.9,7.8,6.2,4.8,7.7,8.1,112,31,"Malawi","SSA","MWI",23,32,36,42,NA,NA,27,31,21,32,NA,NA,31,112,8,6.82,2.41,21,42,27.0235,34.9765
"110","Malaysia","PF",4,4,2,2,2,6,2,2,2,1,7,2,2,2,6,0,0,19,2,1,2,2,7,2,2,2,6,1,2,1,1,5,3,3,2,1,9,27,46,2015,"Asia Pacific","MAL",820,"MYS",458,"eap",3,3,3,"Malaysia","0.779","High","74.7","62","12.7","10.0","22,762","-14",148.8,67.5,3.7,0.7,0,0.45,3.1,8.3,"-0.2","25,700",65.9,5.8,4.2,6.2,4.5,5.3,3.6,6.9,4.7,7.2,6.8,6.5,4.2,54,50,"Malaysia","AP","MYS",NA,64,49,NA,53,NA,40,41,54,42,56,NA,50,54,8,8.48,3,40,64,45.05,54.95
"111","Maldives","PF",4,4,2,3,2,7,2,3,1,1,7,3,2,1,6,0,0,20,1,1,2,2,6,2,3,2,7,1,2,2,2,7,2,2,2,2,8,28,48,2015,"Asia Pacific","MAD",781,"MDV",462,"sa",3,NA,2,"Maldives","0.706","High","76.8","104","13.0","5.8","12,328","-19",189.4,49.3,15.7,-13.4,1.2,0.14,0,24.4,"-1,678.1","1,125",74.2,5.8,4.7,4.6,5.6,4.1,6.4,8.5,6.1,7.5,6.1,7.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Mali","PF",5,4,2,2,2,6,2,2,1,2,7,2,1,1,4,0,0,17,2,3,3,3,11,2,2,2,6,2,2,1,1,6,1,1,1,1,4,27,44,2015,"Sub-Saharan Africa","MLI",432,"MLI",466,"ssa",3,4,4,"Mali","0.419","Low","58.0","179","8.4","2.0","1,583","-8",149,7,3.7,-5.7,13.5,7.36,-4,1.3,"-5.3","142",93.1,9.1,7.8,7.6,8.4,7.4,8.2,6,9,6.7,8.7,4.9,9.3,95,35,"Mali","SSA","MLI",35,32,32,40,NA,NA,NA,31,NA,42,NA,NA,35,95,6,4.63,1.89,31,42,31.8815,38.1185
"113","Malta","F",1,1,4,4,4,12,4,4,4,4,16,4,3,4,11,0,0,39,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,3,4,15,58,97,2015,"Europe","MLT",338,"MLT",470,"eca",1,NA,1,"Malta","0.839","Very High","80.6","37","14.4","10.3","27,930","-1",127,73.2,-19.4,52.7,NA,0.35,2.1,8,"-6.3","1,582",40.9,2.8,4.6,3.9,4,2.9,4.2,3.9,2.3,3.3,3.4,2,3.6,37,56,"Malta","WE/EU","MLT",NA,58,NA,NA,NA,41,NA,60,NA,63,NA,NA,56,37,4,9.88,4.94,41,63,47.849,64.151
